auctionNo;auctionUniqueId;organization;auctionId;auctionStart;auctionEnd;auctionName;auctionVal;comparativePrice;winnerOffer;currency;invitationsCount;registeredParticipantsCount;activeParticipantsCount;winner;auctionType;category;subcategory;itemsCount;offerChangesCount;extensionsCount;country;percentageReductionMinStep;savingComparison
1;1459-1-1440;1;1440;5.8.2020 8:50;0;MARCOM VŘ  tisk;Celková nabídka účastníka;0;263680;CZK;8;11;11;4121;poptavka;Marketing, reklama a tisk;Tisk, tiskařské služby;1;24;0;;0,1;0
2;1467-5-2219;5;2219;4.8.2020 9:30;0;Prekrivači za g;Hodnocení;200850;0;HRK;7;17;17;0;ERMMA;Zdravotnictví;Zdravotnický materiál;3;606;0;;0;1
3;1430-26-654;26;654;1.7.2020 9:00;0;TUBEX - Tender ;Jednotlivé položky;1196494,74;0;EUR;13;27;26;2223;ERMMA;Obaly;Kartonové obaly;138;1242;0;;0;1
4;1104-50-1874;50;1874;17.10.2017 12:00;19.10.2017 9:00;Fasáda kotelny ;Jednotlivé položky;1818000;1519050;CZK;4;4;4;7850;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;2;14;5;;0;0,164438944
5;1119-55-2136;55;2136;12.10.2017 8:00;20.10.2017 9:16;Brusné kotouče;Celková nabídka účastníka;0;1661028;CZK;12;13;13;5800;ERMMA;Stroje, zařízení, nástroje, nářadí;Nářadí a nástroje;3;144;1;;0;0
6;100-45-1383;45;1383;18.10.2017 13:30;23.10.2017 9:54;Řetězové kolo s;Multikriteriální hodnocení;0;1028,16;CZK;6;16;16;5761;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;27;0;Česká republika;0,1;0
7;100-45-1364;45;1364;13.10.2017 13:30;23.10.2017 13:33;Ocelové pásky v;Jednotlivé položky;24167,04;24864;EUR;10;15;15;2978;ERMMA;Hutní materiál, kovy a slitiny;Plechy;8;111;11;Česká republika;0;-0,028839279
8;1072-6-682;6;682;20.10.2017 12:00;24.10.2017 11:24;Výběrové řízení;Jednotlivé položky;0;2641433,76;CZK;17;12;12;2946;ERMMA;Hutní materiál, kovy a slitiny;Tyče a dráty;10;368;243;;0,1;0
9;1072-6-686;6;686;24.10.2017 12:03;25.10.2017 10:08;Výběrové řízení;Jednotlivé položky;0;301150;CZK;9;10;10;3368;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;3;139;10;;0,1;0
10;27-9-269;9;269;18.10.2017 13:30;25.10.2017 10:13;Papírové hrany ;Celková nabídka účastníka;1976000;1996582,9;CZK;17;13;13;1379;ERMMA;Obaly;Kartonové obaly;16;345;7;Česká republika;0,1;-0,010416447
11;1152-129-3095;129;3095;25.10.2017 14:00;26.10.2017 13:39;Feroslitiny na ;Jednotlivé položky;499060;6363;EUR;14;34;34;13455;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;6;561;42;;0;0,98725003
12;100-45-1369;45;1369;12.10.2017 8:30;27.10.2017 8:30;Cenová poptávka;Multikriteriální hodnocení;0;13167;CZK;12;8;8;3543;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;4;21;0;Česká republika;0,1;0
13;206-3-1414;3;1414;25.10.2017 13:00;27.10.2017 9:03;Výměna PROCOP s;Celková nabídka účastníka;1564500;1484700;CZK;2;20;20;2881;nipon;Počítače, IT a telekomunikační služby;Hardware a příslušenství;1;372;2;CZ;0;0,051006711
14;1119-55-2137;55;2137;20.10.2017 15:00;27.10.2017 10:15;Vybudování rece;Celková nabídka účastníka;0;791840;CZK;3;12;12;8923;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;282;0;;0;0
15;100-45-1365;45;1365;6.10.2017 12:00;27.10.2017 12:00;Cenová poptávka;Multikriteriální hodnocení;0;116400;CZK;10;10;10;3543;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;2;32;0;Česká republika;0,1;0
16;100-45-1386;45;1386;24.10.2017 9:30;30.10.2017 12:00;Poptávka - KOMP;Celková nabídka účastníka;0;822970;CZK;8;6;6;5772;poptavka;Stroje, zařízení, nástroje, nářadí;Čerpadla a kompresory;2;17;0;Česká republika;0;0
17;100-45-1379;45;1379;23.10.2017 10:00;31.10.2017 9:40;Doprava 2018 (S;Celková nabídka účastníka;0;262965,0771;EUR;24;13;13;3578;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;65;604;86;Česká republika;0;0
18;1118-88-2072;88;2072;16.10.2017 16:30;31.10.2017 10:20;Nákup počítačů ;Celková nabídka účastníka;4857737,5;4878900;CZK;13;9;9;8032;ERMMA;Počítače, IT a telekomunikační služby;Hardware a příslušenství;6;114;0;;0;-0,004356452
19;100-45-1378;45;1378;17.10.2017 12:30;31.10.2017 11:30;Cenová poptávka;Multikriteriální hodnocení;0;52062,4;CZK;9;6;6;5763;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;4;13;0;Česká republika;0,1;0
20;100-45-1380;45;1380;23.10.2017 10:00;31.10.2017 11:46;Doprava 2018 (S;Celková nabídka účastníka;0;1189490,238;EUR;24;31;31;4202;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;84;1380;129;Česká republika;0;0
21;100-45-1382;45;1382;23.10.2017 10:00;31.10.2017 13:41;Doprava 2018 (S;Celková nabídka účastníka;0;694824,9499;EUR;25;27;27;5767;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;106;1571;184;Česká republika;0;0
22;100-45-1387;45;1387;27.10.2017 13:00;2.11.2017 17:00;Válečkový řetěz;Multikriteriální hodnocení;0;4623,0685;CZK;7;8;8;5761;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;2;62;1;Česká republika;0,1;0
23;100-45-1385;45;1385;20.10.2017 7:36;3.11.2017 6:36;Cenová poptávka;Multikriteriální hodnocení;0;19845;CZK;11;12;12;5240;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;4;137;0;Česká republika;0,1;0
24;206-3-1416;3;1416;1.11.2017 17:00;3.11.2017 10:20;Oprava rozvodu ;Celková nabídka účastníka;1622400;1757600;CZK;5;26;26;3253;ERMMA;Stavebnictví;Stavební úpravy potrubí a plynovodů;1;99;0;CZ;0,1;-0,083333333
25;195-57-1996;57;1996;26.10.2017 14:52;8.11.2017 17:00;Odlitky - skřín;Celková nabídka účastníka;0;25550,56;EUR;7;5;5;6628;poptavka;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;8;60;0;Česká republika;0;0
26;100-45-1389;45;1389;30.10.2017 9:15;10.11.2017 13:00;Poptávka výroby;Celková nabídka účastníka;32398;7436;CZK;30;15;15;5780;poptavka;Hutní materiál, kovy a slitiny;Kovovýroba a povrchová úprava kovů;1;35;0;Česká republika;0,1;0,770479659
27;100-45-1388;45;1388;26.10.2017 14:30;10.11.2017 13:30;Cenová poptávka;Multikriteriální hodnocení;0;61653,2;CZK;13;26;26;5241;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;11;108;0;Česká republika;0,1;0
28;1072-6-691;6;691;13.11.2017 10:30;14.11.2017 10:20;Výběrové řízení;Jednotlivé položky;0;332640;CZK;5;13;13;3368;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;5;42;0;;0,1;0
29;1072-6-689;6;689;10.11.2017 10:00;14.11.2017 10:33;Výběrové řízení;Jednotlivé položky;0;1360800;CZK;16;16;16;168;ERMMA;Odpadové hospodářství;Šrot a kovový odpad;5;232;144;;0,1;0
30;1072-6-692;6;692;13.11.2017 13:30;15.11.2017 10:12;Výběrové řízení;Celková nabídka účastníka;0;358627,5;CZK;11;16;16;167;ERMMA;Odpadové hospodářství;Šrot a kovový odpad;2;89;49;;0,1;0
31;1072-6-690;6;690;13.11.2017 11:00;16.11.2017 10:15;Výběrové řízení;Jednotlivé položky;0;2518866,494;CZK;15;13;13;3364;ERMMA;Hutní materiál, kovy a slitiny;Tyče a dráty;21;748;525;;0,1;0
32;1152-129-3097;129;3097;16.11.2017 9:30;16.11.2017 12:27;Feroslitiny lis;Jednotlivé položky;69478,2;1670,4;EUR;9;44;44;12768;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;2;628;21;;0;0,975957926
33;100-45-1390;45;1390;1.11.2017 12:00;20.11.2017 13:42;Ocelové pásky v;Jednotlivé položky;56992,99;46329,6;EUR;8;8;8;2978;ERMMA;Hutní materiál, kovy a slitiny;Plechy;8;136;85;Česká republika;0;0,187100028
34;91-17-358;17;358;9.11.2017 10:30;22.11.2017 9:00;Oprava plynovod;Celková nabídka účastníka;0;93026,85;CZK;6;3;3;3867;poptavka;Stavebnictví;Stavební úpravy potrubí a plynovodů;1;4;0;Česká republika;0,1;0
35;100-45-1391;45;1391;15.11.2017 10:00;22.11.2017 10:00;Cenová poptávka;Jednotlivé položky;180480,48;176909;EUR;2;20;20;2980;poptavka;Hutní materiál, kovy a slitiny;Roury, armatury a trubky;5;351;0;Česká republika;0;0,019788733
36;1104-50-1876;50;1876;21.11.2017 16:00;22.11.2017 14:00;Export Velká Bí;Celková nabídka účastníka;1274;933,57;EUR;7;4;4;7862;poptavka;Dopravní služby, auto-moto a příslušenství;Nákladní automobily;1;15;0;;0,1;0,267213501
37;1104-50-1877;50;1877;22.11.2017 13:00;27.11.2017 9:50;Nákup PC;Celková nabídka účastníka;652680;655380;CZK;4;7;7;7836;ERMMA;Počítače, IT a telekomunikační služby;Hardware a příslušenství;2;39;0;;0;-0,00413679
38;1108-56-1889;56;1889;24.11.2017 13:00;28.11.2017 13:00;Přenosná radios;Celková nabídka účastníka;0;14987,88;CZK;409;8;8;8633;poptavka;Počítače, IT a telekomunikační služby;Telekomunikační služby a zařízení;1;17;0;;0,1;0
39;195-57-2027;57;2027;22.11.2017 14:30;29.11.2017 17:30;Odlitky - skřín;Celková nabídka účastníka;0;70993,78;EUR;5;2;2;6628;poptavka;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;4;11;0;Česká republika;0;0
40;91-17-357;17;357;6.11.2017 13:00;30.11.2017 11:00;Dodávka a zprov;Celková nabídka účastníka;0;1039678;CZK;2;10;10;4048;zapecetene;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;299;0;;0,1;0
41;1118-88-2071;88;2071;21.9.2017 14:30;30.11.2017 13:30;Příprava - počí;Celková nabídka účastníka;262,5;15685;ks;0;12;12;8863;ERMMA;Počítače, IT a telekomunikační služby;Hardware a příslušenství;8;754;0;;0;-58,75238095
42;1072-6-695;6;695;1.12.2017 11:30;4.12.2017 11:26;Výběrové řízení;Jednotlivé položky;0;31164;CZK;7;18;18;458;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;3;725;12;;0,1;0
43;605-87-2892;87;2892;28.11.2017 10:00;5.12.2017 11:02;Nadrozměrná pře;Jednotlivé položky;0;92718;CZK;12;33;33;4983;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;3;162;12;Česká republika;0;0
44;1152-129-3098;129;3098;4.12.2017 14:00;5.12.2017 11:15;FeCrHC 12/12 20;Jednotlivé položky;70040;65535;EUR;10;26;26;12758;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;1;353;0;;0;0,064320388
45;1108-56-1896;56;1896;30.11.2017 11:00;5.12.2017 12:00;Úklidové prostř;Celková nabídka účastníka;0;3864,066;CZK;260;19;19;8694;poptavka;Úklid, úklidové služby;Čistící a hygienické prostředky;44;421;0;;0,1;0
